# x	y	u	v	flags	mask
5.5529e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	5.3647e+01	-3.0781e-08	-1.3662e+00	0.0000e+00	0.0000e+00
1.2235e+01	5.3647e+01	1.8693e+00	5.4614e+00	0.0000e+00	0.0000e+00
1.4118e+01	5.3647e+01	4.8366e+00	2.7665e+00	0.0000e+00	0.0000e+00
1.6000e+01	5.3647e+01	-4.4609e-01	4.9113e+00	0.0000e+00	0.0000e+00
1.7882e+01	5.3647e+01	2.2374e+00	2.0719e+00	0.0000e+00	0.0000e+00
1.9765e+01	5.3647e+01	2.8826e+00	4.5244e-01	0.0000e+00	0.0000e+00
2.1647e+01	5.3647e+01	5.6768e+00	2.6501e+00	0.0000e+00	0.0000e+00
2.3529e+01	5.3647e+01	5.5784e+00	2.8241e+00	0.0000e+00	0.0000e+00
2.5412e+01	5.3647e+01	2.1985e+00	3.4340e+00	0.0000e+00	0.0000e+00
2.7294e+01	5.3647e+01	5.4098e+00	7.9835e+00	0.0000e+00	0.0000e+00
2.9176e+01	5.3647e+01	3.0118e+00	6.1253e+00	0.0000e+00	0.0000e+00
3.1059e+01	5.3647e+01	5.8245e-01	1.4228e+01	0.0000e+00	0.0000e+00
3.2941e+01	5.3647e+01	1.4710e-01	1.3191e+01	0.0000e+00	0.0000e+00
3.4824e+01	5.3647e+01	2.1725e+00	1.1311e+01	0.0000e+00	0.0000e+00
3.6706e+01	5.3647e+01	-3.0113e+00	1.5513e+01	0.0000e+00	0.0000e+00
3.8588e+01	5.3647e+01	8.0894e-01	1.5324e+01	0.0000e+00	0.0000e+00
4.0471e+01	5.3647e+01	2.1431e+00	1.6596e+01	0.0000e+00	0.0000e+00
4.2353e+01	5.3647e+01	-4.1516e-01	5.2854e+00	0.0000e+00	0.0000e+00
4.4235e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
